Rang;Pays;Continent;Participation;Matchs;G;N;P;BP;BC;Diff;Pts;Finales;Trophes
1;Bresil;Amerique - S;22;114;76;19;19;237;108;129;247;7;5
2;Allemagne;Europe;20;112;68;21;23;232;130;102;225;8;4
3;Argentine;Amerique - S;18;88;47;17;24;152;101;51;158;6;3
4;Italie;Europe;18;83;45;21;17;128;77;51;156;6;4
5;France;Europe;16;73;39;14;20;136;85;51;131;4;2
6;England;Europe;16;74;32;22;20;104;68;36;118;1;1
7;Espagne;Europe;16;67;31;17;19;108;75;33;110;1;1
8;Pays-Bas;Europe;11;55;30;14;11;96;52;44;104;3;0
9;Uruguay;Amerique - S;14;59;25;13;21;89;76;13;88;2;2
10;Belgique;Europe;14;51;21;10;20;69;74;-5;73;0;0
11;Suede;Europe;12;51;19;13;19;80;73;7;70;1;0
12;Russie;Asie;11;45;19;10;16;77;54;23;67;0;0
13;Mexique;Amerique - S;17;60;17;15;28;62;101;-39;66;0;0
14;Serbie;Europe;13;49;18;9;22;71;71;0;63;0;0
15;Portugal;Europe;8;35;17;6;12;61;41;20;57;0;0
16;Pologne;Europe;9;38;17;6;15;49;50;-1;57;0;0
17;Suisse;Europe;12;41;14;8;19;55;73;-18;50;0;0
18;Hongrie;Europe;9;32;15;3;14;87;57;30;48;2;0
19;Croatie;Europe;6;30;13;8;9;43;33;10;47;1;0
20;Republique tcheque;Europe;9;33;12;5;16;47;49;-2;41;2;0
21;Autriche;Europe;7;29;12;4;13;43;47;-4;40;0;0
22;Chili;Amerique - S;9;33;11;7;15;40;49;-9;40;0;0
23;USA;Amerique - N;11;37;9;8;20;40;66;-26;35;0;0
24;Danemarque;Europe;6;23;9;6;8;31;29;2;33;0;0
25;Paraguay;Amerique - S;8;27;7;10;10;30;38;-8;31;0;0
26;Coree du Sud;Asie;11;38;7;10;21;39;78;-39;31;0;0
27;Colombie;Amerique - S;6;22;9;3;10;32;30;2;30;0;0
28;Roumanie;Europe;7;21;8;5;8;30;32;-2;29;0;0
29;Japon;Asie;7;25;7;6;12;25;33;-8;27;0;0
30;Costa Rica;Amerique - S;6;21;6;5;10;22;39;-17;23;0;0
31;Cameroun;Afrique;8;26;5;8;13;22;47;-25;23;0;0
32;Maroc;Afrique;6;23;5;7;11;20;27;-7;22;0;0
33;Nigeria;Afrique;6;21;6;3;12;23;30;-7;21;0;0
34;Ecosse;Europe;8;23;4;7;12;25;41;-16;19;0;0
35;Senegal;Afrique;3;12;5;3;4;16;17;-1;18;0;0
36;Ghana;Afrique;4;15;5;3;7;18;23;-5;18;0;0
